"q002","descricao","Freq_Absoluta","Freq_Relativa"
"A","Nunca estudou.",1145,0.029
"B","Não completou a 4ª série/5º ano do Ensino Fundamental.",5108,0.13
"C","Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.",4318,0.11
"D","Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio.",4792,0.122
"E","Completou o Ensino Médio, mas não completou a Faculdade.",13715,0.349
"F","Completou a Faculdade, mas não completou a Pós-graduação.",4469,0.114
"G","Completou a Pós-graduação.",4481,0.114
"H","Não sei.",1312,0.033
